time x y z G
3,105 -0,02932 0,22867 0,96159 0,9888402092
3,114 -0,03127 0,23063 0,96159 0,9893550111
3,125 -0,03127 0,23063 0,96941 0,9969572498
3,135 -0,03127 0,22672 0,96745 0,9941525405
3,145 -0,03518 0,22867 0,98113 1,0080395221
3,155 -0,03909 0,22867 0,98504 1,0119890309
3,164 -0,03909 0,22476 0,99286 1,0187325779
3,175 -0,03713 0,22281 0,99482 1,020142032
3,185 -0,03909 0,22085 1,00068 1,0255063203
3,195 -0,03713 0,22085 0,99286 1,0178036839
3,205 -0,03323 0,22085 0,98504 1,010040968
3,214 -0,03323 0,21694 0,97723 1,0015715997
3,225 -0,03713 0,21694 0,96745 0,9921698962
3,235 -0,03713 0,2189 0,96941 0,9945107315
3,245 -0,043 0,22085 0,97136 0,9970777162
3,255 -0,043 0,22085 0,97527 1,0008872541
3,264 -0,043 0,22476 0,97723 1,0036655471
3,275 -0,043 0,22867 0,97723 1,004548377
3,285 -0,03909 0,22476 0,9655 0,992086355
3,295 -0,04104 0,22476 0,96941 0,9959704249
3,305 -0,04104 0,22672 0,98113 1,0078205777
3,314 -0,03713 0,22281 0,98113 1,0067964094
3,325 -0,03323 0,2189 0,98309 1,007713943
3,335 -0,03323 0,2189 0,98504 1,0096163848
3,345 -0,03323 0,22672 0,97527 1,0018272127
3,356 -0,03713 0,22867 0,97918 1,0062117462
3,364 -0,03909 0,22672 0,97527 1,0020387015
3,375 -0,03713 0,22672 0,98309 1,0095774083
3,386 -0,03909 0,22867 0,98113 1,0081835517
3,396 -0,03909 0,22867 0,97723 1,004388605
3,407 -0,03713 0,22867 0,97723 1,004314233
3,414 -0,03713 0,22672 0,97332 1,0000662067
3,425 -0,03713 0,22672 0,97136 0,9981587273
3,435 -0,03518 0,22281 0,96941 0,9953078301
3,445 -0,03518 0,22281 0,96941 0,9953078301
3,455 -0,03518 0,22281 0,97136 0,9972071892
3,464 -0,03713 0,22281 0,98113 1,0067964094
3,475 -0,03713 0,22867 0,98113 1,0081094597
3,486 -0,03909 0,22867 0,97723 1,004388605
3,496 -0,03909 0,22867 0,97527 1,0024817055
3,507 -0,03713 0,22672 0,97527 1,0019641551
3,514 -0,03909 0,23063 0,97527 1,0029306047
3,525 -0,03909 0,22672 0,97527 1,0020387015
3,535 -0,04104 0,22672 0,96745 0,9945077891
3,545 -0,03909 0,23258 0,96745 0,995781596
3,555 -0,043 0,23453 0,9655 0,9945066973
3,564 -0,03909 0,23453 0,96941 0,9981423231
3,574 -0,04104 0,22867 0,97136 0,9987564769
3,585 -0,04104 0,22476 0,97723 1,0035834854
3,595 -0,043 0,22476 0,98113 1,0074632174
3,605 -0,043 0,22281 0,97723 1,0032306659
3,614 -0,04104 0,22476 0,98504 1,0111899628
3,625 -0,04495 0,22281 0,97136 0,9975996432
3,635 -0,04104 0,22476 0,98895 1,0149992324
3,645 -0,03323 0,22672 0,99872 1,0246696198
3,655 -0,03713 0,22867 0,98309 1,0100171057
3,664 -0,03518 0,22867 0,97723 1,0042440312
3,674 -0,03518 0,22867 0,96941 0,9966360165
3,685 -0,03518 0,22476 0,96941 0,9957461715
3,695 -0,03518 0,22672 0,97332 0,9999957066
3,705 -0,03518 0,23063 0,96941 0,9970875475
3,714 -0,03323 0,23063 0,96941 0,9970206507
3,725 -0,03518 0,23258 0,96941 0,9975403936
3,735 -0,03713 0,23063 0,97527 1,0028561246
3,745 -0,03713 0,23453 0,987 1,0151610502
3,755 -0,03713 0,23063 0,98895 1,0161648175
3,764 -0,03713 0,22672 0,987 1,0133852157
3,774 -0,03909 0,22085 0,98504 1,0102507373
3,785 -0,04691 0,22476 0,97136 0,9981271739
3,795 -0,043 0,22476 0,96941 0,9960531139
3,805 -0,05277 0,22672 0,96941 0,9969665889
3,814 -0,05668 0,22476 0,97918 1,0062420943
3,825 -0,05082 0,23063 0,97918 1,00725684
3,836 -0,04886 0,22672 0,98309 1,0100768318
3,845 -0,04691 0,22672 0,98309 1,0099843833
3,855 -0,043 0,22672 0,98113 1,0079022945
3,864 -0,03518 0,22672 0,9655 0,9923859334
3,875 -0,03518 0,23258 0,96159 0,9899426331
3,885 -0,03518 0,23453 0,95573 0,9847140632
3,896 -0,02736 0,23063 0,96159 0,9892391493
3,905 -0,03518 0,23649 0,97723 1,0060534903
3,914 -0,03518 0,23453 0,96941 0,9979968444
3,925 -0,02932 0,22867 0,97918 1,0059538278
3,935 -0,03713 0,23063 0,98504 1,0123599337
3,945 -0,04104 0,23258 0,98895 1,0167594802
3,955 -0,03518 0,2404 0,98504 1,0145607887
3,964 -0,05082 0,24235 0,98113 1,0118953858
3,975 -0,04691 0,23649 0,98309 1,0122223157
3,985 -0,04495 0,23453 0,987 1,0154771408
3,996 -0,04886 0,23453 0,987 1,015657728
4,016 -0,04886 0,23258 0,99091 1,0190109833
4,02 -0,04691 0,23258 0,987 1,0151172368
4,027 -0,04691 0,23063 0,96745 0,9956657308
4,036 -0,04886 0,23063 0,9655 0,9938650545
4,045 -0,04886 0,23258 0,96159 0,9905231366
4,055 -0,04495 0,23063 0,9655 0,9936805067
4,064 -0,04886 0,22867 0,97332 1,0010140313
4,074 -0,05082 0,22867 0,97918 1,0068098697
4,086 -0,04886 0,23453 0,98309 1,0118584726
4,095 -0,05082 0,23649 0,96941 0,9991325941
4,107 -0,03909 0,23258 0,96159 0,9900892953
4,114 -0,03518 0,23258 0,95964 0,9880485911
4,125 -0,03518 0,23063 0,95768 0,9856869745
4,136 -0,03909 0,22672 0,9655 0,9925322345
4,145 -0,04104 0,22867 0,96941 0,9968600697
4,157 -0,04104 0,22867 0,97332 1,0006628168
4,164 -0,043 0,22672 0,97332 1,000301345
4,174 -0,04495 0,22672 0,96941 0,9965832675
4,186 -0,043 0,23258 0,97332 1,0016457851
4,195 -0,04104 0,23258 0,97723 1,0053637207
4,208 -0,04495 0,23063 0,97527 1,0031760924
4,214 -0,04886 0,23844 0,98113 1,0108694328
4,225 -0,05082 0,23844 0,98113 1,0109660642
4,236 -0,04886 0,23258 0,98113 1,0095032605
4,245 -0,043 0,23063 0,987 1,0144989881
4,256 -0,04886 0,24235 0,97723 1,0080175073
4,264 -0,043 0,23453 0,97918 1,007793031
4,274 -0,04691 0,2404 0,97918 1,0093493848
4,286 -0,04886 0,23844 0,97723 1,0070846072
4,295 -0,04691 0,23649 0,97723 1,0065319374
4,305 -0,03909 0,23844 0,97332 1,0028626447
4,314 -0,04104 0,2404 0,97136 1,0015072098
4,325 -0,04104 0,2404 0,97136 1,0015072098
4,335 -0,04495 0,24626 0,97332 1,0049956779
4,345 -0,04495 0,23649 0,96745 0,9969491086
4,355 -0,04495 0,2404 0,97136 1,0016750531
4,364 -0,04495 0,2404 0,97527 1,0054671727
4,375 -0,04495 0,2404 0,97332 1,0035758491
4,385 -0,04691 0,23649 0,97527 1,0046291062
4,396 -0,04886 0,23649 0,97918 1,008517869
4,406 -0,04691 0,23453 0,97918 1,0079674307
4,414 -0,04691 0,23844 0,97332 1,0031978888
4,425 -0,04691 0,23453 0,96745 0,996576325
4,435 -0,04495 0,23453 0,96745 0,9964859888
4,445 -0,04886 0,23453 0,97136 1,0004658266
4,455 -0,04691 0,23258 0,97136 0,9999171236
4,464 -0,04691 0,23258 0,96941 0,9980229219
4,475 -0,05277 0,23453 0,97918 1,0082571429
4,485 -0,05277 0,23258 0,97918 1,0078053392
4,495 -0,04886 0,23063 0,98113 1,0090557831
4,505 -0,05082 0,23649 0,98895 1,0181023009
4,514 -0,04886 0,23649 0,98895 1,0180063468
4,525 -0,04691 0,23649 0,98309 1,0122223157
4,535 -0,04886 0,23649 0,97332 1,0028293185
4,545 -0,04691 0,23649 0,96941 0,9989413478
4,555 -0,04886 0,24235 0,9655 0,9966499245
4,564 -0,05472 0,23844 0,96354 0,9941112833
4,574 -0,05082 0,23453 0,96745 0,9967680251
4,585 -0,04104 0,23258 0,97527 1,0034586742
4,595 -0,04495 0,2404 0,98113 1,0111521841
4,607 -0,04495 0,23453 0,98504 1,0135722101
4,615 -0,04104 0,23258 0,98309 1,0110606738
4,625 -0,043 0,23453 0,97723 1,0058985007
4,635 -0,043 0,23844 0,98113 1,0106031419
4,645 -0,04104 0,23844 0,97527 1,0048330648
4,655 -0,043 0,23649 0,97136 1,0006581683
4,664 -0,04104 0,23453 0,97332 1,0020181759
4,674 -0,04495 0,23844 0,97527 1,0050003527
4,685 -0,04886 0,23649 0,97918 1,008517869
4,695 -0,04495 0,23258 0,98309 1,0112269315
4,706 -0,04691 0,23258 0,98504 1,0132116295
4,714 -0,04691 0,23649 0,97918 1,0084252776
4,725 -0,04886 0,23258 0,96941 0,9981164782
4,735 -0,04886 0,22672 0,96354 0,991059327
4,745 -0,04886 0,23258 0,96745 0,9962129584
4,755 -0,05863 0,23453 0,98309 1,0123772745
4,764 -0,06254 0,2404 0,99482 1,0253634692
4,774 -0,06059 0,2404 1,00068 1,0309334462
4,785 -0,05668 0,24235 0,99872 1,0292656524
4,795 -0,05082 0,24626 0,98504 1,0166270022
4,808 -0,05472 0,25017 0,98309 1,0158962818
4,814 -0,05472 0,25603 0,97332 1,0079173883
4,825 -0,05082 0,25799 0,97332 1,0082129412
4,835 -0,03909 0,25799 0,97918 1,0133510451
4,845 -0,03127 0,25603 0,97918 1,0125821676
4,855 -0,03323 0,24626 0,97918 1,0102186362
4,864 -0,03909 0,23844 0,98113 1,0104443273
4,874 -0,03909 0,23063 0,99091 1,0181457917
4,885 -0,03713 0,23063 0,99677 1,0237769614
4,895 -0,03518 0,23258 0,99872 1,0260471369
4,908 -0,03518 0,23063 0,98895 1,0160954344
4,914 -0,03713 0,22281 0,96941 0,9953786622
4,925 -0,03518 0,22281 0,96159 0,9876928959
4,935 -0,03518 0,22476 0,95573 0,982432961
4,945 -0,03518 0,22867 0,94986 0,9776306158
4,955 -0,02932 0,23453 0,93227 0,961764699
4,964 -0,02736 0,22867 0,93423 0,9621976052
4,975 -0,02932 0,23063 0,93814 0,9665177282
4,985 -0,03323 0,23453 0,93618 0,9656819074
4,995 -0,043 0,23258 0,944 0,9731795602
5,01 -0,04691 0,23258 0,95377 0,9828383475
5,016 -0,05277 0,23258 0,96941 0,99831552
5,025 -0,05863 0,23453 0,98113 1,0104740841
5,036 -0,0645 0,23453 0,987 1,0165301623
5,045 -0,0645 0,23258 0,98895 1,0179763302
5,055 -0,0645 0,23453 0,99286 1,0222208912
5,064 -0,06254 0,23063 0,987 1,0155148687
5,075 -0,05277 0,23063 0,97723 1,005461756
5,085 -0,05277 0,23844 0,97723 1,0072818768
5,095 -0,05277 0,23453 0,97723 1,0063634864
5,105 -0,04886 0,23258 0,96941 0,9981164782
5,114 -0,03909 0,23258 0,9655 0,993887184
5,125 -0,03909 0,23258 0,9655 0,993887184
5,135 -0,03909 0,23649 0,96354 0,9929072866
5,145 -0,04104 0,24235 0,96941 1,0000867723
5,155 -0,043 0,2404 0,97918 1,0091752238
5,164 -0,043 0,23649 0,98309 1,0120486491
5,175 -0,04495 0,23649 0,99286 1,0216256664
5,185 -0,04495 0,23844 0,98504 1,0144840746
5,195 -0,04886 0,24235 0,96941 1,0004381891
5,205 -0,04886 0,2404 0,9655 0,9961775492
