time;exp1_acel;exp1_gir;exp2_acel;exp2_gir;exp3_acel;exp3_gir;exp4_acel;exp4_gir;exp5_acel;exp5_gir;exp6_acel;exp6_gir;;
4.101;1,21;4,72;1,19;6,16;0,57;6,11;0,94;7,03;1,81;5,72;1,51;5,22;;
4.149;1,29;4,72;0,87;6,16;0,23;6,11;1,16;7,03;1,79;5,72;1,51;5,30;;
4.152;1,29;4,81;0,87;6,01;0,09;6,11;1,57;7,03;1,72;5,72;1,63;5,30;;
4.209;1,42;4,81;0,70;6,01;0,09;6,03;1,57;7,12;1,72;5,64;1,63;5,34;;
4.222;1,42;4,89;0,70;5,86;0,30;6,03;1,75;7,12;1,57;5,64;1,67;5,34;;
4.249;1,48;4,89;0,40;5,86;0,30;6,01;1,75;7,20;1,57;5,54;1,70;5,34;;
4.292;1,48;4,95;0,16;5,86;0,48;6,01;2,05;7,20;1,48;5,54;1,70;5,33;;
4.314;1,56;4,95;0,16;5,77;0,81;6,01;2,05;7,26;1,48;5,40;1,68;5,33;;
4.349;1,60;4,95;0,18;5,77;0,81;6,04;2,24;7,26;1,28;5,40;1,68;5,28;;
4.361;1,60;4,96;0,18;5,73;0,97;6,04;2,29;7,26;1,18;5,40;1,62;5,28;;
4.408;1,60;4,96;0,44;5,73;0,97;6,12;2,29;7,29;1,18;5,24;1,51;5,28;;
4.435;1,60;4,92;0,44;5,74;1,29;6,12;2,27;7,29;0,96;5,24;1,51;5,19;;
4.451;1,56;4,92;0,59;5,74;1,29;6,20;2,27;7,24;0,96;5,09;1,44;5,19;;
4.508;1,51;4,92;0,88;5,74;1,57;6,20;2,21;7,24;0,87;5,09;1,44;5,07;;
4.509;1,51;4,85;0,88;5,79;1,70;6,20;1,99;7,24;0,67;5,09;1,28;5,07;;
4.549;1,42;4,85;1,02;5,79;1,70;6,29;1,99;7,14;0,67;4,94;1,28;4,92;;
4.571;1,42;4,73;1,02;5,89;1,89;6,29;1,82;7,14;0,52;4,94;1,20;4,92;;
4.599;1,34;4,73;1,31;5,89;1,89;6,34;1,82;7,00;0,52;4,84;1,03;4,92;;
4.643;1,34;4,60;1,56;5,89;1,94;6,34;1,45;7,00;0,46;4,84;1,03;4,77;;
4.649;1,21;4,60;1,56;5,97;1,94;6,36;1,06;7,00;0,46;4,75;0,93;4,77;;
4.699;1,14;4,60;1,67;5,97;2,00;6,36;1,06;6,83;0,42;4,75;0,93;4,61;;
4.711;1,14;4,44;1,67;6,05;1,98;6,36;0,85;6,83;0,42;4,75;0,78;4,61;;
4.749;1,02;4,44;1,83;6,05;1,98;6,32;0,85;6,67;0,42;4,71;0,72;4,61;;
4.783;1,02;4,29;1,83;6,10;1,88;6,32;0,45;6,67;0,49;4,71;0,72;4,47;;
4.8;0,89;4,29;1,88;6,10;1,88;6,24;0,45;6,56;0,49;4,71;0,61;4,47;;
4.849;0,84;4,29;1,91;6,10;1,79;6,24;0,24;6,56;0,56;4,71;0,61;4,35;;
4.852;0,84;4,13;1,91;6,10;1,57;6,24;0,20;6,56;0,72;4,71;0,54;4,35;;
4.899;0,75;4,13;1,90;6,10;1,57;6,09;0,20;6,50;0,72;4,75;0,54;4,27;;
4.921;0,75;4,00;1,90;6,05;1,29;6,09;0,39;6,50;0,80;4,75;0,52;4,27;;
4.95;0,71;4,00;1,79;6,05;1,29;5,96;0,39;6,49;0,80;4,82;0,52;4,27;;
4.991;0,71;3,87;1,72;6,05;1,16;5,96;0,78;6,49;0,99;4,82;0,52;4,23;;
4.999;0,66;3,87;1,72;5,94;0,86;5,96;0,97;6,49;0,99;4,90;0,53;4,23;;
5.051;0,63;3,87;1,51;5,94;0,86;5,78;0,97;6,55;1,17;4,90;0,53;4,24;;
5.061;0,63;3,78;1,51;5,82;0,72;5,78;1,34;6,55;1,27;4,90;0,59;4,24;;
5.099;0,62;3,78;1,27;5,82;0,72;5,64;1,34;6,64;1,27;5,00;0,63;4,24;;
5.148;0,62;3,74;1,27;5,65;0,46;5,64;1,67;6,64;1,42;5,00;0,63;4,27;;
5.155;0,61;3,74;1,14;5,65;0,46;5,54;1,67;6,72;1,42;5,07;0,74;4,27;;
5.199;0,61;3,74;0,87;5,65;0,34;5,54;1,82;6,72;1,49;5,07;0,74;4,35;;
5.202;0,61;3,73;0,87;5,49;0,23;5,54;2,02;6,72;1,60;5,07;0,82;4,35;;
5.25;0,63;3,73;0,76;5,49;0,23;5,47;2,02;6,79;1,60;5,13;0,96;4,35;;
5.271;0,63;3,75;0,76;5,34;0,27;5,47;2,10;6,79;1,63;5,13;0,96;4,42;;
5.299;0,66;3,75;0,53;5,34;0,27;5,47;2,10;6,81;1,63;5,14;1,11;4,42;;
5.351;0,66;3,80;0,44;5,34;0,49;5,47;2,14;6,81;1,65;5,14;1,11;4,51;;
5.353;0,74;3,80;0,44;5,24;0,75;5,47;2,12;6,81;1,65;5,12;1,18;4,51;;
5.399;0,77;3,80;0,31;5,24;0,75;5,49;2,12;6,79;1,61;5,12;1,18;4,60;;
5.411;0,77;3,86;0,31;5,17;0,89;5,49;1,98;6,79;1,57;5,12;1,32;4,60;;
5.451;0,88;3,86;0,31;5,17;0,89;5,55;1,98;6,71;1,57;5,05;1,38;4,60;;
5.481;0,88;3,95;0,31;5,14;1,14;5,55;1,87;6,71;1,47;5,05;1,38;4,67;;
5.499;0,94;3,95;0,43;5,14;1,14;5,64;1,87;6,57;1,47;4,94;1,48;4,67;;
5.556;1,06;3,95;0,63;5,14;1,27;5,64;1,61;6,57;1,41;4,94;1,48;4,71;;
5.558;1,06;4,05;0,63;5,17;1,50;5,64;1,26;6,57;1,25;4,94;1,51;4,71;;
5.599;1,11;4,05;0,73;5,17;1,50;5,74;1,26;6,43;1,25;4,81;1,56;4,71;;
5.621;1,11;4,13;0,73;5,22;1,60;5,74;1,10;6,43;1,18;4,81;1,56;4,72;;
5.651;1,22;4,13;0,96;5,22;1,60;5,80;1,10;6,27;1,18;4,66;1,53;4,72;;
5.691;1,22;4,21;1,08;5,22;1,74;5,80;0,74;6,27;1,02;4,66;1,53;4,69;;
5.7;1,32;4,21;1,08;5,30;1,83;5,80;0,57;6,27;1,02;4,50;1,51;4,69;;
5.752;1,36;4,21;1,30;5,30;1,83;5,84;0,57;6,11;0,95;4,50;1,51;4,62;;
5.761;1,36;4,26;1,30;5,40;1,83;5,84;0,24;6,11;0,81;4,50;1,44;4,62;;
5.818;1,43;4,26;1,40;5,40;1,83;5,84;0,24;6,02;0,81;4,34;1,40;4,62;;
5.84;1,43;4,29;1,40;5,49;1,79;5,84;0,10;6,02;0,72;4,34;1,40;4,50;;
5.85;1,45;4,29;1,58;5,49;1,79;5,77;0,30;6,02;0,72;4,20;1,29;4,50;;
5.899;1,46;4,29;1,69;5,49;1,75;5,77;0,30;5,98;0,66;4,20;1,29;4,37;;
5.902;1,46;4,29;1,69;5,54;1,60;5,77;0,64;5,98;0,61;4,20;1,22;4,37;;
5.949;1,44;4,29;1,74;5,54;1,60;5,67;0,64;5,99;0,61;4,10;1,10;4,37;;
5.971;1,44;4,23;1,74;5,57;1,51;5,67;0,80;5,99;0,58;4,10;1,10;4,22;;
5.999;1,40;4,23;1,76;5,57;1,51;5,53;0,80;6,04;0,58;4,02;1,06;4,22;;
6.046;1,40;4,15;1,74;5,57;1,30;5,53;1,11;6,04;0,57;4,02;1,06;4,07;;
6.049;1,33;4,15;1,74;5,53;1,18;5,53;1,28;6,04;0,57;3,99;0,94;4,07;;
6.099;1,30;4,15;1,66;5,53;1,18;5,39;1,28;6,13;0,56;3,99;0,94;3,91;;
6.111;1,30;4,03;1,66;5,45;0,96;5,39;1,55;6,13;0,59;3,99;0,86;3,91;;
6.153;1,21;4,03;1,59;5,45;0,96;5,22;1,55;6,21;0,59;4,00;0,82;3,91;;
6.181;1,21;3,89;1,59;5,34;0,73;5,22;1,66;6,21;0,61;4,00;0,82;3,77;;
6.2;1,17;3,89;1,45;5,34;0,73;5,07;1,86;6,21;0,61;4,03;0,76;3,77;;
6.255;1,07;3,89;1,34;5,34;0,64;5,07;1,86;6,29;0,69;4,03;0,76;3,65;;
6.256;1,07;3,74;1,34;5,19;0,47;5,07;1,94;6,29;0,79;4,03;0,73;3,65;;
6.299;1,04;3,74;1,15;5,19;0,47;4,94;1,94;6,34;0,79;4,09;0,69;3,65;;
6.321;1,04;3,58;1,15;5,04;0,43;4,94;1,98;6,34;0,86;4,09;0,69;3,55;;
6.357;0,97;3,58;0,96;5,04;0,43;4,87;1,98;6,31;0,86;4,15;0,69;3,55;;
6.391;0,97;3,41;0,86;5,04;0,38;4,87;1,93;6,31;0,97;4,15;0,69;3,48;;
6.399;0,93;3,41;0,86;4,89;0,40;4,87;1,87;6,31;0,97;4,23;0,66;3,48;;
6.454;0,88;3,41;0,69;4,89;0,40;4,85;1,87;6,24;1,05;4,23;0,66;3,45;;
6.461;0,88;3,27;0,69;4,74;0,51;4,85;1,69;6,24;1,17;4,23;0,66;3,45;;
6.499;0,85;3,27;0,63;4,74;0,51;4,87;1,69;6,12;1,17;4,33;0,66;3,45;;
6.542;0,85;3,13;0,63;4,62;0,59;4,87;1,57;6,12;1,24;4,33;0,66;3,43;;
6.552;0,83;3,13;0,52;4,62;0,59;4,91;1,32;6,12;1,24;4,42;0,67;3,43;;
6.599;0,81;3,13;0,48;4,62;0,77;4,91;1,32;5,96;1,35;4,42;0,67;3,44;;
6.603;0,81;3,01;0,48;4,53;0,98;4,91;1,18;5,96;1,40;4,42;0,69;3,44;;
6.649;0,81;3,01;0,46;4,53;0,98;4,98;1,18;5,82;1,40;4,49;0,73;3,44;;
6.671;0,81;2,92;0,46;4,50;1,07;4,98;0,89;5,82;1,47;4,49;0,73;3,49;;
6.699;0,78;2,92;0,47;4,50;1,07;5,07;0,89;5,66;1,47;4,51;0,76;3,49;;
6.746;0,78;2,85;0,55;4,50;1,27;5,07;0,75;5,66;1,49;4,51;0,76;3,55;;
6.751;0,78;2,85;0,55;4,50;1,36;5,07;0,49;5,66;1,49;4,50;0,83;3,55;;
6.799;0,76;2,85;0,67;4,50;1,36;5,15;0,49;5,53;1,49;4,50;0,83;3,63;;
6.811;0,76;2,81;0,67;4,55;1,52;5,15;0,28;5,53;1,47;4,50;0,88;3,63;;
6.852;0,75;2,81;0,74;4,55;1,52;5,23;0,28;5,45;1,47;4,45;0,97;3,63;;
6.883;0,75;2,80;0,74;4,61;1,57;5,23;0,24;5,45;1,44;4,45;0,97;3,73;;
6.899;0,75;2,80;0,89;4,61;1,57;5,27;0,35;5,45;1,44;4,35;1,07;3,73;;
6.95;0,74;2,80;0,99;4,61;1,66;5,27;0,35;5,41;1,37;4,35;1,07;3,83;;
6.954;0,74;2,80;0,99;4,70;1,69;5,27;0,47;5,41;1,32;4,35;1,12;3,83;;
6.999;0,73;2,80;1,15;4,70;1,69;5,28;0,47;5,42;1,32;4,23;1,21;3,83;;
7.021;0,73;2,83;1,15;4,79;1,67;5,28;0,70;5,42;1,23;4,23;1,21;3,92;;
7.049;0,75;2,83;1,24;4,79;1,67;5,23;0,70;5,48;1,23;4,10;1,26;3,92;;
7.091;0,75;2,83;1,39;4,79;1,61;5,23;0,84;5,48;1,12;4,10;1,26;3,98;;
7.099;0,75;2,88;1,39;4,87;1,56;5,23;1,10;5,48;1,07;4,10;1,33;3,98;;
7.149;0,77;2,88;1,51;4,87;1,56;5,13;1,10;5,56;1,07;3,95;1,33;4,01;;
7.161;0,77;2,95;1,51;4,93;1,42;5,13;1,35;5,56;0,98;3,95;1,36;4,01;;
7.199;0,80;2,95;1,55;4,93;1,42;5,00;1,35;5,65;0,98;3,80;1,39;4,01;;
7.239;0,80;3,03;1,55;4,97;1,34;5,00;1,46;5,65;0,93;3,80;1,39;4,02;;
7.25;0,85;3,03;1,60;4,97;1,18;5,00;1,64;5,65;0,93;3,64;1,40;4,02;;
7.299;0,90;3,03;1,61;4,97;1,18;4,86;1,64;5,73;0,86;3,64;1,40;3,99;;
