time x y z G
3,178 -0,01759 0,34398 0,94791 1,0085459913
3,191 -0,01759 0,34203 0,94986 1,0097167665
3,198 -0,01759 0,33812 0,94205 1,0010458256
3,208 -0,02736 0,34007 0,94595 1,0055931469
3,218 -0,03127 0,34203 0,95768 1,0174051878
3,229 -0,03323 0,34594 0,95768 1,0187883484
3,245 -0,04104 0,34398 0,95964 1,0202526411
3,248 -0,03909 0,34007 0,95768 1,0170184931
3,259 -0,04104 0,33617 0,95377 1,0121125251
3,268 -0,03909 0,33226 0,94986 1,0070544947
3,278 -0,03909 0,32639 0,95573 1,010682093
3,29 -0,03518 0,32444 0,95768 1,011755864
3,298 -0,03323 0,32639 0,95573 1,0104724132
3,308 -0,03323 0,3303 0,95964 1,0154364837
3,318 -0,03127 0,3303 0,95573 1,0116796607
3,342 -0,03127 0,33812 0,95573 1,0142597203
3,349 -0,03518 0,34398 0,95768 1,0181899897
3,359 -0,03518 0,34985 0,95377 1,0165185034
3,368 -0,03127 0,35376 0,94205 1,0067681724
3,379 -0,02541 0,3518 0,93423 0,9985963153
3,399 -0,02736 0,34789 0,93227 0,9954412964
3,4 -0,03909 0,34985 0,944 1,0075013899
3,412 -0,043 0,34789 0,94986 1,0124773932
3,418 -0,05082 0,34594 0,95377 1,0158417046
3,429 -0,05472 0,34594 0,95964 1,0215565044
3,442 -0,03909 0,34594 0,96941 1,0300282811
3,448 -0,03127 0,34594 0,96354 1,0242370956
3,459 -0,03127 0,34789 0,94986 1,0120470763
3,468 -0,03323 0,34594 0,94205 1,0041100134
3,478 -0,03127 0,34203 0,94986 1,0100476986
3,489 -0,02736 0,34398 0,94595 1,0069221482
3,498 -0,02345 0,34007 0,94205 1,0018261875
3,509 -0,02932 0,34398 0,944 1,0051457122
3,518 -0,04495 0,34985 0,95182 1,015074794
3,531 -0,05082 0,35376 0,95768 1,0221936179
3,549 -0,043 0,34985 0,96941 1,0315036455
3,55 -0,04104 0,34203 0,97136 1,0306352663
3,562 -0,043 0,34594 0,9655 1,0265055936
3,568 -0,043 0,34398 0,96354 1,0240022324
3,578 -0,03518 0,34789 0,95768 1,0195175658
3,589 -0,02932 0,34985 0,95377 1,0163325724
3,598 -0,02541 0,34203 0,97136 1,0301312725
3,612 -0,0215 0,34203 0,97527 1,0337303052
3,618 -0,02345 0,34398 0,96941 1,0288964433
3,631 -0,01954 0,34007 0,9655 1,0238259942
3,643 -0,01368 0,33812 0,97136 1,0286168025
3,648 -0,01954 0,34594 0,95768 1,0184337375
3,659 -0,02541 0,34789 0,94595 1,0082135303
3,668 -0,03127 0,34594 0,94009 1,002208314
3,678 -0,03518 0,34594 0,93423 0,996843924
3,691 -0,03127 0,34203 0,93227 0,9935238732
3,698 -0,02932 0,34007 0,93618 0,9964638778
3,708 -0,03127 0,33617 0,94205 1,0007228809
3,718 -0,03127 0,33226 0,95768 1,0141624638
3,728 -0,03518 0,33421 0,96745 1,0241549975
3,746 -0,03518 0,33421 0,9655 1,0223131646
